yr,ticker,g,sec,mb,cr,r40,mc,mom,ret,qqq
2007,LYTS,CIC,Indu,0.292,0.428,0.410,0.075,9.3,-32.1,0.5
2007,LZB,CIC,Cons,0.319,0.189,0.080,0.241,5.4,-41.5,-0.1
2007,MATV,CIC,Basi,0.396,0.027,0.123,0.068,32.0,0.8,1.5
2007,MATX,CIC,Indu,0.431,0.216,0.267,0.405,11.7,-10.1,1.9
2007,MCRI,CIC,Cons,0.339,0.025,0.490,0.109,27.5,-19.3,-2.4
2007,MCS,NOC,Comm,0.970,0.554,0.196,0.226,-7.4,-23.5,0.1
2007,MCY,NOC,Fina,0.547,0.064,0.280,0.788,6.0,-7.6,-0.2
2007,MEI,NOC,Tech,0.335,0.269,0.344,0.089,22.8,-12.6,0.5
2007,MEOH,CIC,Basi,0.829,0.720,0.895,0.704,-6.6,-3.1,1.3
2007,MGRC,CIC,Indu,0.886,0.722,0.405,0.271,20.9,-34.1,-2.2
2007,MHO,CIC,Cons,0.230,0.597,0.219,0.141,0.8,-55.6,-1.3
2007,MIDD,CIC,Indu,0.262,0.166,0.765,0.248,45.3,11.6,2.8
2007,MKL,NOC,Fina,0.686,0.415,0.658,0.995,21.5,-13.0,-0.6
2007,MKSI,NOC,Tech,0.415,0.818,0.870,0.487,18.2,-26.7,-3.5
2007,MLI,CIC,Indu,0.501,0.761,0.330,0.203,-5.9,-13.3,1.7
2007,MLKN,CIC,Cons,0.034,0.125,0.469,0.713,7.5,-22.9,-1.9
2007,MNST,NOC,Cons,0.084,0.547,0.902,0.866,0.7,26.2,3.1
2007,MOD,CIC,Indu,0.421,0.451,0.367,0.285,6.8,-39.3,2.0
2007,MOH,NOC,Heal,0.531,0.731,0.610,0.292,-15.8,9.9,-0.1
2007,MORN,NOC,Fina,0.148,0.255,0.859,0.667,39.6,30.7,-4.4
2007,MOV,CIC,Cons,0.103,0.100,0.449,0.255,12.9,-34.5,1.7
2007,MTH,CIC,Cons,0.747,0.752,0.064,0.437,7.7,-76.4,-0.2
2007,MTRN,CIC,Basi,0.271,0.622,0.797,0.298,67.4,-28.6,-1.0
2007,MTX,CIC,Basi,0.125,0.144,0.269,0.440,10.1,-11.0,0.7
2007,MTZ,CIC,Indu,0.831,0.754,0.847,0.244,-2.5,-27.1,1.8
2007,MWA,CIC,Indu,0.929,0.998,0.157,0.563,-3.7,-38.9,1.3
2007,MYE,CIC,Cons,0.289,0.478,0.116,0.194,2.7,-18.4,-2.1
2007,NAT,CIC,Indu,0.984,0.884,0.932,0.328,2.3,-12.5,-1.1
2007,NDAQ,NOC,Fina,0.945,0.718,0.918,0.877,2.0,43.5,1.7
2007,NICE,NOC,Tech,0.355,0.241,0.654,0.608,26.8,-12.1,-2.8
2007,NJR,NOC,Util,0.704,0.809,0.039,0.485,-3.4,-1.8,-1.8
2007,NNI,NOC,Fina,0.982,0.979,0.018,0.465,-17.9,-56.3,0.3
2007,NOVT,NOC,Tech,0.456,0.704,0.501,0.071,-0.1,-11.0,1.8
2007,NPO,CIC,Indu,0.194,0.205,0.007,0.273,27.1,-16.0,-0.2
2007,NTES,NOC,Tech,0.046,0.784,0.866,0.724,12.1,33.4,9.0
2007,NWPX,CIC,Indu,0.043,0.469,0.647,0.009,17.3,10.7,-3.9
2007,NX,CIC,Basi,0.351,0.524,0.194,0.503,29.0,28.7,0.9
2007,OGE,NOC,Util,0.859,0.822,0.050,0.886,10.6,-16.3,-0.8
2007,OII,CIC,Ener,0.601,0.196,0.604,0.695,39.2,51.6,-5.0
2007,OIS,CIC,Ener,0.235,0.665,0.451,0.280,4.0,26.6,-1.9
2007,OKE,CIC,Ener,0.519,0.975,0.043,0.918,13.3,11.5,-3.5
2007,OLN,CIC,Basi,0.497,0.374,0.551,0.442,7.4,3.3,0.9
2007,OMCL,NOC,Heal,0.476,0.567,0.704,0.153,5.3,41.4,2.4
2007,ON,NOC,Tech,0.595,0.517,0.663,0.822,58.0,-33.0,0.5
2007,ONB,NOC,Fina,0.449,0.533,0.210,0.444,-4.3,-19.1,0.7
2007,OPY,NOC,Fina,0.189,0.551,0.533,0.096,13.3,33.5,-2.5
2007,ORLY,CIC,Cons,0.087,0.091,0.390,0.882,-1.8,-14.5,1.2
2007,OSBC,NOC,Fina,0.856,0.112,0.572,0.059,-3.7,-7.1,1.5
2007,OSIS,NOC,Tech,0.677,0.510,0.125,0.077,27.4,-3.3,1.1
2007,OSK,CIC,Indu,0.153,0.335,0.645,0.907,6.6,-13.9,1.9
2007,OSPN,NOC,Tech,0.588,0.745,0.875,0.219,73.9,-1.0,-2.5
2007,OXM,CIC,Cons,0.426,0.815,0.134,0.303,13.8,-54.6,6.1
2007,OZK,NOC,Fina,0.920,0.390,0.795,0.125,-14.8,-25.4,-0.7
2007,PAAS,CIC,Basi,0.938,0.966,0.995,0.672,48.9,25.6,-3.6
2007,PB,NOC,Fina,0.774,0.624,0.417,0.478,-2.7,-19.2,1.1
2007,PBH,NOC,Heal,0.412,0.369,0.576,0.207,11.8,-36.9,-1.5
2007,PDS,CIC,Ener,0.870,0.847,0.355,0.993,-29.7,-12.8,-0.2
2007,PENN,CIC,Cons,0.451,0.918,0.756,0.296,27.3,8.4,-4.2
2007,PFS,NOC,Fina,0.683,0.604,0.096,0.378,-5.0,-29.2,0.6
2007,PII,CIC,Cons,0.221,0.282,0.150,0.569,11.3,-8.8,1.2
2007,PKE,CIC,Indu,0.394,0.351,0.394,0.173,-11.6,-8.1,3.7
2007,PKG,CIC,Cons,0.672,0.214,0.549,0.690,-5.5,14.6,4.2
2007,PLXS,NOC,Tech,0.182,0.128,0.401,0.349,8.1,-12.6,-0.2
2007,PNFP,NOC,Fina,0.654,0.977,0.975,0.132,-18.5,-29.0,-3.2
2007,PNR,CIC,Indu,0.134,0.285,0.239,0.654,20.8,0.9,2.0
2007,POOL,CIC,Indu,0.155,0.417,0.191,0.613,-4.1,-48.3,-1.1
2007,POWL,CIC,Indu,0.399,0.802,0.779,0.036,37.8,18.6,-2.1
2007,PPLI,NOC,Comm,0.549,0.904,0.708,0.308,34.1,-44.4,1.3
2007,PRDO,NOC,Cons,0.556,0.686,0.107,0.781,32.9,-41.9,-1.5
2007,PRGO,NOC,Heal,0.581,0.724,0.253,0.554,1.7,84.5,3.8
2007,PRMB,NOC,Cons,0.503,0.023,0.121,0.317,-23.1,-74.5,-0.1
2007,PTEN,CIC,Ener,0.718,0.674,0.818,0.891,-0.8,-1.4,-1.4
2007,PVH,CIC,Cons,0.349,0.223,0.556,0.863,36.8,-40.8,-1.7
2007,PWR,CIC,Indu,0.472,0.364,0.264,0.759,33.6,0.9,-3.4
2007,QDEL,NOC,Heal,0.818,0.929,0.686,0.084,-6.1,38.0,-2.9
2007,QGEN,NOC,Heal,0.239,0.251,0.722,0.756,8.0,19.6,0.0
2007,RBA,CIC,Indu,0.403,0.765,0.542,0.631,6.8,33.8,-4.5
2007,RBC,CIC,Indu,0.171,0.080,0.595,0.364,8.0,-21.3,-3.0
2007,RDN,NOC,Fina,0.109,0.549,0.911,0.966,-6.7,-87.9,0.1
2007,RES,CIC,Ener,0.569,0.385,0.856,0.560,38.8,-42.5,-0.4
2007,RGA,NOC,Fina,0.624,0.066,0.524,0.856,3.6,-11.3,1.2
2007,RGLD,CIC,Basi,0.863,0.738,0.959,0.262,19.2,-6.7,0.7
2007,RHP,NOC,Real,0.408,0.376,0.023,0.706,24.7,-44.7,-1.4
2007,RMD,NOC,Heal,0.178,0.380,0.731,0.925,35.1,-18.2,-2.4
2007,RNR,NOC,Fina,0.989,0.383,0.009,0.904,-2.6,7.0,2.1
2007,ROG,NOC,Tech,0.467,0.667,0.540,0.282,-24.3,-34.8,-4.0
2007,ROP,NOC,Tech,0.055,0.610,0.679,0.961,14.2,9.0,-3.7
2007,ROST,CIC,Cons,0.166,0.030,0.446,0.979,29.3,-15.2,-2.1
2007,RRC,CIC,Ener,0.631,0.670,0.752,0.959,28.9,97.6,-5.1
