yr,ticker,fecha,ret,ps
2013,TREX,2013-02-19,75.66,2.5600
2013,TTEK,2013-01-30,-2.97,0.6900
2013,WCC,2013-01-31,12.04,0.5700
2013,WLFC,2013-03-11,19.89,2.7900
2013,WOR,2013-01-03,64.25,0.4400
2013,WSO,2013-02-14,20.22,0.7800
2014,AAON,2014-03-13,23.44,3.1600
2014,AGX,2014-04-08,26.39,1.7500
2014,ALGT,2014-01-29,77.32,1.8600
2014,ALNT,2014-03-18,108.91,1.3300
2014,AMRC,2014-03-13,-16.81,0.6600
2014,ARCB,2014-01-30,17.01,0.3700
2014,ATI,2014-01-22,-12.31,0.8100
2014,ATRO,2014-02-13,69.78,2.2200
2014,AVAV,2014-03-04,-11.59,3.1300
2014,AXON,2014-02-26,19.86,7.5000
2014,AZZ,2014-01-08,4.58,1.4600
2014,BBSI,2014-02-04,-61.05,1.0900
2014,CAR,2014-02-19,56.63,0.5400
2014,CECO,2014-03-06,-15.97,0.9400
2014,CLH,2014-02-26,21.53,0.8000
2014,CMCO,2014-01-23,-1.11,0.9200
2014,CMRE,2014-01-27,-1.95,2.4100
2014,CODI,2014-03-11,-7.81,0.9000
2014,CPA,2014-02-12,-16.74,2.2800
2014,CRAI,2014-02-13,47.05,0.7700
2014,CW,2014-02-19,11.91,1.2200
2014,CYD,2014-04-22,-1.83,0.3000
2014,DAC,2014-02-10,-0.49,1.1400
2014,DXPE,2014-03-03,-55.66,1.1700
2014,DY,2014-02-25,41.83,0.4900
2014,EBF,2014-04-21,-11.76,0.7700
2014,ENS,2014-02-05,-8.37,1.4000
2014,EPAC,2014-03-19,-24.17,1.8600
2014,ESLT,2014-03-19,11.80,0.8700
2014,FCN,2014-02-20,24.51,0.7000
2014,FIX,2014-02-27,-0.30,0.4700
2014,FRO,2014-02-27,-42.42,0.6900
2014,FSS,2014-03-05,17.38,1.0500
2014,FWRD,2014-02-10,19.88,2.0400
2014,GBX,2014-01-08,56.09,0.6300
2014,GEO,2014-02-19,36.36,1.5200
2014,GNRC,2014-02-13,-13.59,2.6700
2014,GRC,2014-02-07,1.26,1.9700
2014,HEI,2014-02-25,6.10,3.7100
2014,HLIO,2014-03-03,-3.65,5.4100
2014,HTLD,2014-02-04,22.85,3.0200
2014,HUBG,2014-01-28,-15.62,0.4400
2014,HURN,2014-02-25,13.56,1.9100
2014,ICFI,2014-02-26,19.99,0.7400
2014,JBTM,2014-03-31,15.60,0.9700
2014,KAI,2014-02-19,13.54,1.2100
2014,KFY,2014-03-06,23.11,1.3600
2014,LNN,2014-01-03,-2.73,1.5600
2014,MRCY,2014-01-28,32.84,1.5600
2014,MTZ,2014-02-27,-46.07,0.6800
2014,PKE,2014-01-10,-15.23,3.3800
2014,PRIM,2014-02-28,-44.93,0.8300
2014,RGR,2014-02-25,-32.70,1.9800
2014,STN,2014-02-27,-16.13,1.3100
2014,TREX,2014-02-24,20.85,4.0500
2014,TTEK,2014-01-29,-14.23,0.6900
2014,WCC,2014-01-30,-17.73,0.5800
2014,WLFC,2014-03-03,5.58,2.9600
2014,WOR,2014-03-27,-32.96,0.5800
2014,WSO,2014-02-13,23.97,0.8700
2015,AAON,2015-02-27,8.46,3.4600
2015,AGX,2015-04-10,-0.78,1.3300
2015,ALGT,2015-01-28,-10.25,2.7100
2015,ALNT,2015-03-12,-20.00,1.4200
2015,AMRC,2015-03-05,-26.25,0.5400
2015,ARCB,2015-02-04,-54.89,0.3900
2015,ATI,2015-01-20,-71.64,0.7200
2015,ATRO,2015-02-19,-58.05,1.9600
2015,AVAV,2015-03-03,-5.27,2.6300
2015,AXON,2015-02-26,-14.59,7.4800
2015,AZZ,2015-01-09,19.63,1.3400
2015,CAR,2015-02-18,-52.13,0.8000
2015,CECO,2015-03-05,-25.00,0.6000
2015,CLH,2015-02-25,-25.34,0.9800
2015,CMCO,2015-01-29,-44.51,0.8800
2015,CMRE,2015-02-04,-61.49,2.0200
2015,CODI,2015-03-02,-12.67,0.8400
2015,CPA,2015-02-11,-51.99,1.8200
2015,CRAI,2015-03-17,-44.81,0.9600
2015,CW,2015-02-18,-6.27,1.3900
2015,CYD,2015-04-09,-48.75,0.3100
2015,DAC,2015-02-09,-22.28,1.2100
2015,DXPE,2015-03-02,-68.71,0.4600
2015,DY,2015-02-24,59.76,0.7000
2015,EBF,2015-01-05,45.41,0.6000
2015,ENS,2015-02-04,-20.97,1.1300
2015,EPAC,2015-03-18,-8.76,1.1600
2015,ESLT,2015-03-11,46.22,0.9600
2015,FCN,2015-02-19,-7.02,0.8600
2015,FIX,2015-02-26,60.25,0.4500
2015,FSS,2015-03-02,-29.49,1.1500
2015,FWRD,2015-02-10,-16.41,2.0300
2015,GBX,2015-01-07,-51.45,0.7900
2015,GEO,2015-02-18,-34.30,1.9200
2015,GNRC,2015-02-11,-33.08,2.3500
2015,GRC,2015-02-06,-23.68,1.8500
2015,HEI,2015-02-24,-10.27,3.6900
2015,HLIO,2015-02-23,-26.76,4.7400
2015,HTLD,2015-02-03,-29.70,2.5200
2015,HUBG,2015-02-04,-11.14,0.3500
2015,HURN,2015-02-24,-32.16,1.8500
2015,ICFI,2015-02-26,-17.72,0.7800
2015,JBTM,2015-03-31,57.92,1.0600
2015,KAI,2015-02-25,-4.12,1.1500
2015,KFY,2015-03-09,-11.70,1.5100
2015,LNN,2015-01-06,-7.29,1.6400
2015,MRCY,2015-01-27,21.20,2.1500
2015,MTZ,2015-02-26,-29.27,0.3800
2015,PKE,2015-01-08,-37.16,2.9900
2015,PRIM,2015-03-03,12.14,0.4300
2015,RGR,2015-02-25,39.58,1.6800
2015,STN,2015-02-26,-13.51,1.0400
2015,TREX,2015-02-24,-20.16,4.0900
2015,TTEK,2015-01-28,0.42,0.6200
2015,WCC,2015-01-29,-43.41,0.4400
