ticker,yr,fecha,f4,sector,ret,ps,mcap,mom,r40,sdmb,sdcr,mb,cr
BWA,2007,2007-02-08,2008-02-07,Consumer Cyclical,23.11,0.8400,3851.7,29.43,0.1568,0.01200,0.09170,0.1766,0.1467
BWP,2007,2007-03-31,2008-03-31,desconocido,-32.76,6.4200,3988.8,67.81,0.5371,0.03537,0.06163,0.7296,0.0783
BXC,2007,2007-02-13,2008-02-12,Industrials,-60.90,0.0800,392.0,12.30,-0.2921,0.00854,0.37497,0.0984,-0.2927
BYD,2007,2007-02-20,2008-02-27,Consumer Cyclical,-50.53,1.9000,4282.6,30.01,-0.0388,0.11955,0.35349,0.1537,-0.4044
CACI,2007,2007-01-31,2008-01-30,Technology,-10.59,0.8000,1485.8,-15.06,0.2143,0.00960,0.12470,0.3469,0.1368
CADE,2007,2007-01-18,2008-01-23,desconocido,-12.49,2.2900,2033.5,5.29,0.3036,0.04505,0.06489,0.6109,0.1284
CAKE,2007,2007-02-06,2008-02-05,Consumer Cyclical,-24.82,1.6600,2182.9,1.09,0.1643,0.00825,0.05538,0.1988,0.0988
CASY,2007,2007-03-07,2008-03-06,Consumer Cyclical,1.80,0.3200,1249.5,7.89,0.1737,0.00916,0.09803,0.1518,0.1517
CATY,2007,2007-01-25,2008-02-29,Financial Services,-34.11,5.7200,1720.3,-9.81,0.1016,0.07170,0.16202,0.5489,-0.2343
CBD,2007,2007-03-30,2008-03-31,desconocido,41.73,0.0500,319.2,-32.45,0.0903,0.01548,1.01358,0.2781,0.0939
CBKCQ,2007,2007-04-11,2008-04-09,desconocido,-48.10,1.3200,722.5,-18.84,0.0710,0.03004,0.05891,0.3394,0.0584
CBRL,2007,2007-02-20,2008-02-26,Consumer Cyclical,-18.47,0.6800,1690.3,15.37,-0.0494,0.01435,0.07983,0.6564,-0.1184
CBT,2007,2007-01-24,2008-01-23,Basic Materials,-33.93,1.2100,3159.3,23.36,0.2380,0.04376,0.05644,0.2275,0.1158
CBZ,2007,2007-02-13,2008-02-12,Industrials,29.18,0.7700,462.9,-6.92,0.0649,0.03722,0.03275,0.0929,0.0387
CCBG,2007,2007-03-15,2008-03-17,Financial Services,-15.66,3.0700,576.3,-4.28,0.3386,0.03287,0.09457,0.7637,0.1011
CCMP,2007,2007-01-25,2008-01-24,desconocido,17.14,2.2700,728.9,-11.18,0.1527,0.01171,0.17204,0.4805,0.0040
CCOI,2007,2007-03-12,2008-02-27,Communication Services,-15.47,7.7200,1150.8,109.75,0.0209,0.05452,0.26865,0.4972,0.2195
CCRN,2007,2007-02-12,2008-03-03,desconocido,-50.63,1.0900,714.1,39.08,0.1314,0.01308,0.06116,0.2348,0.0601
CDE,2007,2007-02-22,2008-02-29,Basic Materials,2.55,6.0300,1305.9,-0.84,0.6242,0.13569,0.15067,0.5262,0.3016
CE,2007,2007-02-06,2008-02-05,Basic Materials,43.45,0.6700,4466.9,54.64,0.2099,0.02173,0.06428,0.2162,0.0981
CECO,2007,2007-03-22,2008-03-10,Industrials,-57.78,3.2300,432.8,43.72,0.7610,0.03675,0.23879,0.1981,0.7020
CENX,2007,2007-02-20,2008-02-14,Basic Materials,22.16,1.0100,1574.2,50.14,0.6430,0.05280,0.19031,0.2193,0.4490
CEQP,2007,2007-02-07,2008-02-05,desconocido,-4.35,0.6100,820.4,14.37,0.0092,0.03633,0.59211,0.3167,-0.0945
CERN,2007,2007-02-01,2008-01-31,desconocido,14.41,2.7300,3762.1,-5.29,0.3011,0.01307,0.05039,0.7663,0.1688
CFFN,2007,2007-02-05,2008-02-04,Financial Services,-14.65,20.4200,2882.5,11.84,0.0775,0.04695,0.17235,0.3094,-0.0720
CFR,2007,2007-01-24,2008-01-23,Financial Services,-3.14,4.5400,3227.3,-7.67,0.3937,0.04452,0.03013,0.7347,0.1016
CGNX,2007,2007-01-23,2008-02-14,Technology,-34.63,4.5100,1075.3,-7.24,0.1266,0.01811,0.15550,0.7223,-0.0413
CHD,2007,2007-02-06,2008-02-05,Consumer Defensive,18.44,1.6600,3229.8,17.26,0.3040,0.02304,0.14013,0.3885,0.2199
CHE,2007,2007-02-20,2008-02-21,Healthcare,25.60,1.0100,1028.8,2.34,0.2242,0.01547,0.20874,0.3165,0.0853
CHH,2007,2007-02-13,2008-02-12,Consumer Cyclical,-16.75,4.9200,2679.7,-1.19,0.4587,0.02072,0.05312,0.4772,0.1812
CHS,2007,2007-03-06,2008-03-05,desconocido,-58.37,2.1900,3605.8,-57.24,0.2442,0.02673,0.08220,0.5401,0.1878
CIB,2007,2007-05-07,2008-05-07,Financial Services,52.69,0.6800,1315.8,-8.00,0.6110,0.03747,0.58528,0.6410,0.3931
CIEN,2007,2007-03-01,2008-03-07,Technology,-1.70,4.3300,2635.8,6.84,0.3878,0.07442,0.07105,0.4460,0.3709
CIGI,2007,2007-01-30,2008-01-29,Real Estate,-6.32,0.3900,452.8,3.23,0.1425,0.01888,0.43343,0.3408,0.0958
CIR,2007,2007-02-21,2008-02-20,desconocido,24.19,0.9700,574.0,29.25,0.5037,0.01268,0.10256,0.2887,0.4086
CLF,2007,2007-02-21,2008-02-21,Basic Materials,110.25,1.2000,2309.6,48.88,0.3243,0.04845,0.29221,0.1774,0.1718
CLH,2007,2007-03-14,2008-02-27,Industrials,31.23,0.6800,970.9,8.47,0.2650,0.01436,0.04054,0.2844,0.1668
CMC,2007,2007-03-20,2008-03-25,Basic Materials,12.17,0.4300,3470.9,41.65,0.2241,0.01049,0.08278,0.1321,0.1640
CMCO,2007,2007-01-23,2008-01-24,Industrials,-0.20,0.8300,481.4,36.27,0.1703,0.01477,0.11217,0.2719,0.0654
CMG,2007,2007-02-15,2008-02-14,Consumer Cyclical,76.42,2.4300,1999.7,23.99,0.3383,0.01367,0.08980,0.2033,0.2678
CMP,2007,2007-02-12,2008-02-11,Basic Materials,43.69,1.5800,1043.9,12.43,0.0753,0.04592,0.11565,0.2771,-0.1355
CMTL,2007,2007-03-08,2008-03-05,desconocido,20.80,2.4500,974.3,4.43,0.3725,0.02653,0.33528,0.4476,0.1634
CNSL,2007,2007-03-08,2008-03-06,desconocido,-26.30,1.8000,577.4,33.64,0.0645,0.01175,0.03631,0.6899,0.0056
COLB,2007,2007-03-02,2008-03-06,Financial Services,-37.32,5.2800,1895.2,2.67,0.7705,0.05115,0.20073,0.6681,0.4778
