yr,ticker,sec,mb,cr,r40,mc,mom,ret,qqq
2007,SHOO,Cons,0.565,0.298,0.686,0.236,-27.2,-41.3,0.9
2007,SIG,Cons,0.821,0.821,0.507,0.943,19.2,-50.9,0.4
2007,SKY,Cons,0.152,0.518,0.034,0.610,-0.1,-25.0,10.0
2007,SM,Ener,0.930,0.827,0.460,0.459,2.2,-3.5,-3.3
2007,SMG,Basi,0.903,0.186,0.056,0.900,21.4,-37.1,0.6
2007,SQM,Basi,0.299,0.221,0.768,0.975,50.9,35.2,-12.8
2007,SSD,Basi,0.389,0.438,0.188,0.611,24.2,-24.0,-2.2
2007,STLD,Basi,0.431,0.815,0.861,0.874,40.4,47.4,1.4
2007,STN,Indu,0.985,0.783,0.931,0.477,32.0,33.4,-4.5
2007,SWBI,Indu,0.425,0.487,0.743,0.111,-2.6,-64.0,0.6
2007,SWK,Indu,0.114,0.296,0.674,0.957,6.2,-11.9,0.5
2007,SXI,Indu,0.246,0.449,0.106,0.063,2.5,-35.3,-1.2
2007,TCOM,Cons,0.551,0.931,0.952,0.732,53.3,62.3,-4.0
2007,TFII,Indu,0.776,0.716,0.094,0.468,-16.0,-28.2,-1.2
2007,TK,Ener,0.702,0.411,0.054,0.938,38.7,-22.5,0.7
2007,TKR,Indu,0.330,0.468,0.031,0.673,-9.7,-2.5,-0.2
2007,TPC,Indu,0.026,0.911,0.830,0.346,36.5,28.0,-2.8
2007,TRN,Indu,0.554,0.405,0.394,0.767,36.6,-31.5,-2.3
2007,TSCO,Cons,0.097,0.236,0.304,0.692,2.0,-30.2,0.5
2007,TTEK,Indu,0.305,0.738,0.317,0.453,0.6,4.7,0.8
2007,UFPI,Basi,0.038,0.516,0.062,0.409,-1.1,-31.3,-0.7
2007,UGP,Ener,0.350,0.262,0.399,0.682,40.1,38.6,0.1
2007,ULH,Indu,0.348,0.613,0.352,0.141,8.8,-26.3,-2.1
2007,URBN,Cons,0.443,0.378,0.513,0.934,37.9,19.1,0.4
2007,URI,Indu,0.644,0.460,0.161,0.802,23.4,-33.0,-1.1
2007,VMI,Indu,0.103,0.343,0.314,0.570,8.0,47.9,0.6
2007,WAB,Indu,0.334,0.419,0.428,0.626,27.5,3.0,-3.5
2007,WCC,Indu,0.122,0.174,0.389,0.871,10.1,-43.8,0.4
2007,WCN,Indu,0.198,0.050,0.609,0.680,10.3,2.7,-0.2
2007,WEN,Cons,0.952,0.987,0.331,0.598,14.3,-54.9,1.0
2007,WGO,Cons,0.301,0.098,0.173,0.455,4.8,-40.8,-0.9
2007,WLK,Basi,0.723,0.645,0.085,0.685,2.8,-40.6,-1.7
2007,WNC,Indu,0.343,0.324,0.179,0.188,14.3,-43.5,-0.1
2007,WOR,Indu,0.408,0.230,0.164,0.465,21.0,-21.9,-2.4
2007,WPM,Basi,0.943,0.853,0.999,0.774,12.6,49.6,-4.0
2007,WSO,Indu,0.012,0.474,0.152,0.560,13.5,-28.1,-0.1
2007,WTI,Ener,0.512,0.642,0.933,0.711,-2.4,31.8,3.9
2007,WWW,Cons,0.208,0.004,0.374,0.595,11.6,-29.1,0.5
2009,AAL,Indu,0.800,0.041,0.309,0.341,-39.9,-25.2,28.0
2009,AAP,Cons,0.106,0.029,0.592,0.854,-7.9,30.7,44.5
2009,ACM,Indu,0.930,0.363,0.813,0.826,2.0,-5.7,27.3
2009,AGCO,Indu,0.063,0.428,0.433,0.738,-57.1,27.4,33.4
2009,AGI,Basi,0.912,0.820,0.951,0.275,-24.9,132.7,98.1
2009,ALB,Basi,0.226,0.283,0.333,0.719,-42.4,60.4,54.7
2009,ALGT,Indu,0.849,0.385,0.841,0.379,59.4,33.0,45.3
2009,ALK,Indu,0.987,0.039,0.254,0.465,21.4,32.4,44.8
2009,ALV,Cons,0.485,0.475,0.150,0.455,-61.9,113.9,68.6
2009,AMSC,Indu,0.719,0.946,0.515,0.343,-18.2,140.0,74.3
2009,ARLP,Ener,0.437,0.236,0.779,0.517,-12.8,34.4,42.4
2009,AROC,Ener,0.722,0.985,0.629,0.314,-75.2,22.7,46.3
2009,ASR,Indu,0.602,0.390,0.798,0.423,-46.8,71.8,60.8
2009,ATI,Indu,0.553,0.483,0.380,0.735,-66.4,89.1,64.8
2009,AVAV,Indu,0.494,0.554,0.559,0.317,44.7,-19.0,36.2
2009,AZZ,Indu,0.285,0.556,0.831,0.070,-14.9,25.8,43.9
2009,BAK,Basi,0.393,0.776,0.792,0.463,-76.0,275.8,157.1
2009,BALL,Cons,0.286,0.211,0.424,0.919,-4.8,25.6,42.5
2009,BCPC,Basi,0.693,0.873,0.546,0.107,-3.4,65.2,58.6
2009,BKNG,Cons,0.709,0.257,0.777,0.880,-32.8,207.3,104.6
2009,BVN,Basi,0.953,0.634,0.228,0.992,-51.0,68.6,63.6
2009,BWA,Cons,0.611,0.550,0.104,0.753,-52.0,64.7,47.7
2009,BYD,Cons,0.190,0.621,0.070,0.120,-81.3,68.9,65.6
2009,CASY,Cons,0.353,0.532,0.195,0.452,-24.3,68.8,75.2
2009,CBRL,Cons,0.354,0.125,0.431,0.180,-45.5,90.8,68.1
2009,CBT,Basi,0.447,0.446,0.327,0.454,-48.5,64.8,52.0
2009,CBZ,Indu,0.659,0.065,0.499,0.193,-10.7,-14.5,25.8
2009,CE,Basi,0.715,0.499,0.135,0.584,-76.2,211.3,93.4
2009,CECO,Indu,0.537,0.880,0.315,0.049,68.2,31.5,51.6
2009,CF,Basi,0.899,0.654,0.886,0.847,-49.7,87.5,57.5
2009,CHDN,Cons,0.933,0.724,0.280,0.109,-43.2,33.4,53.1
2009,CHH,Cons,0.220,0.174,0.564,0.610,-28.2,29.2,38.1
2009,CLF,Basi,0.876,0.808,0.834,0.732,-68.0,151.0,89.1
2009,CLH,Indu,0.361,0.037,0.590,0.538,-16.4,13.6,40.1
2009,CMC,Basi,0.389,0.720,0.151,0.558,-63.2,43.2,53.2
2009,CMI,Indu,0.356,0.289,0.337,0.995,-47.8,91.7,59.3
2009,CMP,Basi,0.759,0.611,0.862,0.717,36.9,4.5,27.9
2009,CRI,Cons,0.224,0.088,0.356,0.576,4.5,22.8,30.6
2009,CRK,Ener,0.784,0.932,0.207,0.689,21.7,-7.9,24.6
2009,CRS,Basi,0.496,0.543,0.304,0.408,-70.6,51.7,51.3
2009,CSL,Basi,0.234,0.237,0.338,0.528,-48.0,74.8,52.4
2009,CW,Indu,0.091,0.307,0.527,0.572,-28.1,0.3,33.3
2009,DECK,Cons,0.509,0.522,0.941,0.328,-58.2,92.9,72.7
2009,DINO,Ener,0.774,0.798,0.177,0.556,-52.8,11.8,38.6
2009,DK,Ener,0.993,0.834,0.093,0.039,-64.0,39.0,60.9
