yr,ticker,mom,ret,qqq,fdate,roce,capexdep,dio,evsales,evebitda,ndebitda,curratio,fcfy,iq,ccc,pos_roce,pos_capexdep,pos_dio,pos_evsales,pos_fcfy,capexdep_ma8,ev_mid_ebitda,nd_mid_ebitda,d_roce,d_dio,d_capexdep
2018,CHH,35.2,4.9,3.6,2017-09-30,0.113105,2.25363,0,14.1415,50.2722,6.77591,1.66764,0.0260171,2.1202,9.63896,0.370789,0.191021,0.120828,0.181427,0.985415,2.26095,70.2246,9.46518,-0.0206491,0,0.0192076
2018,CLH,-11.4,20.2,4.5,2017-09-30,0.0148076,0.535738,29.9824,5.95635,37.874,10.6697,2.19107,0.0202349,8.6696,59.4365,0.628328,0,0.494501,0.516115,0.98541,0.735388,42.0532,11.8471,0.00951319,-2.45389,-0.183537
2018,CRAI,24.1,-3.8,4.4,2017-09-30,0.0238238,1.11449,0,3.43408,38.6991,-2.57885,1.62175,0.0405301,5.0462,91.8937,0.988779,0.244264,,0.958744,0.521891,1.52184,106.302,-7.08381,0.000725967,0,-1.57023
2018,DCH,-25.7,-3.4,3.5,2017-09-30,0.02188,1.177,25.0186,3.23774,19.0162,12.3518,1.72195,0.0323,2.4044,29.5541,0.409481,0.47962,0.129394,0.730176,0.639031,1.04961,40.0169,25.9927,-0.0149724,1.10432,0.114874
2018,DECK,57.0,45.7,-2.0,2017-09-30,0.0643781,0.518917,194.295,4.40351,26.5442,-0.815985,2.43206,-0.0830043,-3.54006,168.126,0.489234,0.185114,0.353596,0.233661,0.182879,0.819887,42.8215,-1.31636,0.011762,1.27525,-0.375984
2018,EBF,19.6,0.2,15.5,2017-08-31,0.0455368,0.241836,41.0378,4.53362,24.8487,-3.11143,5.89124,0.0123356,0.799766,62.145,1,0.436593,0.158517,1,0.3324,0.243618,42.0005,-5.25907,0.00862965,1.47212,0.0849667
2018,EFXT,-21.5,23.4,5.3,2017-09-30,0.00655627,0.645357,79.6059,7.35829,44.1743,4.77565,1.85696,0.0515086,3.89868,78.354,0.195012,0.1382,0.423988,1,0.926786,0.374755,56.4788,6.10588,-0.00482558,-30.7893,0.584982
2018,EGO,-71.2,-16.4,2.6,2017-09-30,-0.00617709,4.73876,234.406,18.6873,89.4889,2.6843,7.79812,-0.0551284,0.997143,180.564,0.923272,0.848489,0.946415,0.297891,0.0441003,3.80984,,,-0.0127211,72.5835,-0.322811
2018,ENS,-14.6,33.3,8.4,2017-10-01,0.0318992,1.00834,83.1318,5.12666,41.7867,2.66029,3.42571,0.00347636,0.552432,110.164,0.668453,0.377081,1,0.609114,0.177824,0.914272,44.2363,2.81624,-0.00289429,2.83413,0.019187
2018,FCN,16.8,45.0,7.3,2017-09-30,0.0248547,0.665958,0,3.63324,27.8726,5.17974,2.1485,0.0748005,3.29773,81.493,0.911503,0.276696,0,0,0.995277,0.612819,40.8791,7.59683,0.00710549,0,-0.228488
2018,FTK,-47.0,-43.3,3.0,2017-09-30,-0.0113459,0.722621,110.268,3.78534,1113.98,132.026,1.95836,0.0237734,-2.49196,142.831,0.654728,0.761581,0.312655,0,1,0.482551,24.3449,2.88529,0.0025123,-27.5572,-0.0818864
2018,GRC,-13.0,19.5,8.6,2017-09-30,0.0224939,0.37629,98.0018,8.1744,48.2233,-4.76824,4.76148,0.00939401,1.65293,141.016,0.0928695,0.0150032,0.424215,0.72614,0.373551,0.43298,55.2022,-5.4583,-0.00718505,0.338017,-0.42486
2018,IOSP,-4.3,10.3,7.9,2017-09-30,0.0281009,0.913386,81.4854,4.9869,37.2505,3.81124,2.23918,0.0231848,1.97854,103.407,0.134697,0.447523,0,0.30955,0.684611,0.558581,44.5724,4.56037,0.00672803,-33.8115,0.423802
