yr,ticker,sec,mb,cr,r40,mc,mom,ret,qqq
2010,PKE,Indu,0.693,0.645,0.892,0.278,63.3,5.2,17.3
2010,PKG,Cons,0.233,0.132,0.424,0.734,76.8,31.8,26.9
2010,PNR,Indu,0.197,0.287,0.303,0.706,30.3,16.6,25.7
2010,POOL,Indu,0.009,0.044,0.109,0.454,53.6,25.1,29.8
2010,POWL,Indu,0.459,0.272,0.178,0.058,7.7,24.0,26.8
2010,PTEN,Ener,0.584,0.799,0.016,0.779,79.5,44.9,33.8
2010,PVH,Cons,0.710,0.099,0.491,0.828,192.2,9.0,17.1
2010,PWR,Indu,0.210,0.786,0.477,0.929,2.9,17.5,25.3
2010,RBC,Indu,0.295,0.514,0.182,0.467,52.6,50.7,39.4
2010,RES,Ener,0.758,0.751,0.057,0.531,46.9,105.5,43.0
2010,RGLD,Basi,0.282,0.847,0.984,0.651,-9.2,13.5,28.6
2010,RHI,Indu,0.456,0.576,0.102,0.917,45.6,26.0,28.9
2010,RRX,Indu,0.345,0.635,0.377,0.686,50.5,38.2,31.9
2010,RS,Basi,0.550,0.748,0.073,0.860,75.0,28.6,30.7
2010,SAH,Cons,0.063,0.814,0.904,0.217,256.0,51.2,37.5
